id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
111,DSA,medium,What is the space complexity of an in-place sorting algorithm like Bubble Sort?,O(1),O(n),O(log n),O(n^2),a,"An in-place sorting algorithm, like Bubble Sort, only requires a constant amount of extra space for temporary variables, making its space complexity O(1).",,,,,,,,,,,,,
112,DSA,medium,What is the time complexity of finding the maximum element in an unsorted array?,O(1),O(n),O(log n),O(n^2),b,"To find the maximum element in an unsorted array, you have to iterate through every element at least once to compare it with the current maximum, resulting in a linear time complexity of O(n).",,,,,,,,,,,,,
113,DSA,medium,What is the primary purpose of a 'Heap' data structure?,To find the sum of all elements,To maintain a sorted list of elements,To efficiently find the minimum or maximum element,To reverse a list of elements,c,"A heap is a specialized tree-based data structure that satisfies the heap property. In a min-heap, the root node is the smallest element, and in a max-heap, it is the largest, allowing for O(1) access to the min/max element.",,,,,,,,,,,,,
114,DSA,medium,What is the difference between DFS (Depth-First Search) and BFS (Breadth-First Search)?,DFS uses a queue; BFS uses a stack,DFS explores all neighbors at the current level before moving to the next level; BFS goes as deep as possible first,DFS uses a stack; BFS uses a queue,They are the same algorithm with different names,c,DFS typically uses a stack to explore a path as deeply as possible before backtracking. BFS typically uses a queue to explore all neighbors at the current level before moving to the next level.,,,,,,,,,,,,,
115,DSA,medium,Which of the following sorting algorithms is unstable?,Insertion Sort,Merge Sort,Quick Sort,Bubble Sort,c,"An unstable sorting algorithm is one that does not preserve the relative order of records with equal keys. Quick Sort is a classic example of an unstable sorting algorithm. Insertion Sort, Merge Sort, and Bubble Sort are generally stable.",,,,,,,,,,,,,
116,Python,easy,How do you write a 'while' loop that continues as long as a variable 'i' is less than 5?,while (i < 5):,while i < 5:,loop i < 5:,while (i < 5),b,The correct syntax for a while loop in Python is the 'while' keyword followed by a condition and a colon. Parentheses are not required.,,,,,,,,,,,,,
118,Python,easy,What is the data type of the value returned by the `input()` function?,int,str,list,tuple,b,"The `input()` function reads a line of text from the user and returns it as a string, even if the user enters a number.",,,,,,,,,,,,,
119,Python,easy,How do you convert a string '42' to an integer?,int('42'),str_to_int('42'),to_int('42'),integer('42'),a,The built-in `int()` function is used to convert a string of digits into an integer data type.,,,,,,,,,,,,,
120,Python,easy,What is the correct way to check if an item 'x' is in a list 'my_list'?,if my_list.has(x):,if x in my_list:,if my_list.contains(x):,if my_list[x]:,b,The `in` keyword is the most common and Pythonic way to check for the presence of an item in a list or any other iterable.,,,,,,,,,,,,,
121,Python,medium,What does a list comprehension do in Python?,Creates a list by iterating over another iterable,A function that returns a list,A built-in method for sorting lists,A way to create a list of booleans,a,A list comprehension provides a concise way to create lists. It is a compact and readable syntax for creating a new list based on the values of an existing iterable.,,,,,,,,,,,,,
122,Python,medium,What is the purpose of the `super()` function in Python?,To call a method from the parent class,To call a method from the child class,To create a new instance of a class,To delete an instance of a class,a,The `super()` function is used in a class to call a method from its parent or superclass. It is commonly used in `__init__` methods to call the parent's constructor.,,,,,,,,,,,,,
123,Python,medium,Which of the following is a key feature of Python's dynamic typing?,Variables do not need an explicit type declaration,Variables can only hold a single type,All variables are integers by default,You cannot change a variable's type after it is defined,a,"Dynamic typing means that the type of a variable is determined at runtime, not at compile time. You do not need to declare a variable's type, and it can change throughout the program's execution.",,,,,,,,,,,,,
125,Python,medium,What is the purpose of the `__str__` method?,To provide a string representation for an object,To convert an object to a string for saving to a file,To compare two objects for equality,To check if an object is an instance of a string,a,The `__str__` method is used to provide a human-readable string representation of an object. The built-in `print()` and `str()` functions use this method to get a string representation of the object.,,,,,,,,,,,,,
126,Algorithms,easy,What is the worst-case time complexity of a linear search algorithm?,O(1),O(n),O(log n),O(n^2),b,"In a linear search, you must check every element in the worst-case scenario (e.g., the element is at the end or not present), so the time complexity is proportional to the number of elements, O(n).",,,,,,,,,,,,,
127,Algorithms,easy,Which algorithm is typically used to find the shortest path in a weighted graph with non-negative edge weights?,DFS,BFS,Dijkstra's Algorithm,Prim's Algorithm,c,Dijkstra's Algorithm is a popular and efficient algorithm used to find the shortest path from a starting node to all other nodes in a weighted graph with non-negative edge weights.,,,,,,,,,,,,,
128,Algorithms,easy,What is a common use case for a Breadth-First Search (BFS)?,Finding the shortest path in an unweighted graph,Finding a path to a specific leaf node,Sorting an array,Checking for cycles in a directed graph,a,BFS is guaranteed to find the shortest path in an unweighted graph because it explores all nodes at the current level before moving to the next level.,,,,,,,,,,,,,
129,Algorithms,easy,What is the time complexity of the bubble sort algorithm in the best-case scenario?,O(1),O(n),O(n^2),O(n log n),b,"In the best-case scenario for bubble sort, the array is already sorted. The algorithm will still make one full pass to verify it's sorted, resulting in a linear time complexity of O(n).",,,,,,,,,,,,,
130,Algorithms,easy,What is a brute-force algorithm?,An algorithm that uses a single step,An algorithm that tries all possible solutions,An algorithm that finds the shortest path,An algorithm that uses a divide and conquer approach,b,A brute-force algorithm is a straightforward approach to a problem that tries every possible solution until a satisfactory one is found. It is simple to implement but often computationally expensive.,,,,,,,,,,,,,
