id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
152,Cloud Computing,medium,What is a microservices architecture?,A system where a single application is broken down into small,independent services,A system with a single large codebase,A system that uses a single monolithic database,a type of front-end framework,A
153,Operating Systems,medium,What is the difference between a process and a thread?,A process is a part of a thread,A thread is an independent program,A process is a program in execution,A process is a single-threaded program,c,"A process is an instance of a program being executed, while a thread is a lightweight process that can run within a process. Multiple threads can exist within a single process and share its resources."
154,Algorithms,easy,What is the time complexity of linear search?,O1,Olog n,On,On log n,c,"Linear search scans all elements, On."
155,Machine Learning,hard,Which optimization method adapts learning rate?,SGD,Adam,Vanilla Gradient,L-BFGS,b,Adam dynamically adapts learning rates for each parameter.
157,Data Structures,easy,Which data structure is used to implement a priority queue efficiently?,Stack,Heap,Array,Linked List,b,A heap is typically used for priority queues due to efficient insert and removal operations.
158,Algorithms,hard,What complexity is matrix chain multiplication DP?,On2,On3,O2n,Olog n,b,Matrix Chain DP runs in On3.
159,Data Structures,easy,Which of the following is a linear data structure?,Graph,Tree,Stack,Hash Table,c,"A stack is a linear data structure following LIFO ordering, unlike graphs and trees which are non-linear."
160,Algorithms,hard,Which of the following is a non-comparison based sorting algorithm?,Quick Sort,Merge Sort,Radix Sort,Heap Sort,c,Radix Sort is a non-comparison based sorting algorithm that sorts integers by grouping them by individual digits. It can be faster than comparison-based sorts like Quick Sort or Merge Sort for certain types of data.
161,Algorithms,easy,Which sorting algorithm has the best average case time complexity?,Bubble Sort,Quick Sort,Merge Sort,Selection Sort,c,Merge Sort runs in On log n in all cases.
162,Cybersecurity,medium,What is the purpose of a VPN Virtual Private Network?,To increase network speed,To allow a remote user to securely access a private network over the internet,To manage a wireless network,To block unwanted websites,b,"A VPN creates a secure, encrypted connection over a public network. It allows a user to send and receive data as if they were directly connected to the private network, ensuring confidentiality and security."
163,Operating Systems,easy,Which OS component manages files?,Kernel,File System,Dispatcher,Scheduler,b,The File System is responsible for file organization.
164,SQL,easy,How do you select all columns from a table named 'Employees'?,SELECT  FROM Employees,SELECT all FROM Employees,SELECT columns FROM Employees,GET  FROM Employees,a,The asterisk  is a wildcard character in SQL that represents all columns in a table. The correct syntax is SELECT followed by the wildcard and the table name.
165,Data Science,medium,What does TF-IDF measure?,Term frequency importance,Text encoding schema,Database index,Prediction error,a,TF-IDF Term FrequencyInverse Document Frequency measures importance of a word in a document relative to corpus.
166,Data Structures,easy,What is the time complexity of accessing an element in an array by index?,O1,Olog n,On,On log n,a,"Accessing by index is a direct operation, hence O1."
167,Python,medium,What does the 'self' keyword represent in a class method?,The class itself,The name of the method,The instance of the class,A global variable,c,The 'self' keyword represents the instance of the class that the method is being called on. It is a convention and the first parameter of any instance method.
168,Cloud Computing,hard,What does serverless architecture mean?,No servers are used,Developers dont manage servers,Cloud without databases,Network without routers,b,Serverless means developers deploy code without handling server management.
169,Artificial Intelligence,medium,What is heuristic?,Exact solution,Approximation guiding search,Sorting metric,Loop count,b,Heuristics estimate cost towards goal reducing search effort.
170,Machine Learning,hard,What neural network is best suited for image recognition?,RNN,CNN,SVM,Naive Bayes,b,CNNs are designed to capture spatial hierarchies in data such as images.
172,Python,easy,Which type does input return in Python3?,int,float,str,bool,c,input always returns a string by default.
175,Machine Learning,hard,What is vanishing gradient mostly associated with?,Shallow networks,Deep networks,RNNs,Decision trees,c,The vanishing gradient commonly affects deep recurrent neural networks.
177,Machine Learning,easy,Which ML task is clustering an example of?,Supervised,Unsupervised,Reinforcement,Regression,b,Clustering is an unsupervised learning method.
178,Data Structures,hard,What is the maximum number of edges in a simple undirected graph with n vertices?,n2,nn-12,nn12,n log n,b,Maximum edges  nn-12.
180,SQL,easy,Which clause is used to filter records in a SQL query?,FILTER BY,WHERE,LIMIT,GROUP BY,b,"The WHERE clause is used to filter rows that meet a specified condition. It appears after the FROM clause and before GROUP BY, ORDER BY, or LIMIT."
181,SQL,medium,What is the difference between DELETE and TRUNCATE?,DELETE is a DML command,TRUNCATE is a DDL command,DELETE is faster than TRUNCATE,DELETE can be rolled back,`truncate` cannot,Both A and C
183,Data Structures,easy,What is the time complexity of accessing an element by index in an array?,O1,On,Olog n,On2,a,"Accessing an element in an array by its index is a constant time operation, O1, because the memory address of the element can be calculated directly from the base address and the index."
